Player,Position,School,College,Height,Weight,40 Time,Vertical Jump,Bench,Broad Jump,3 Cone,Shuttle,Drafted
Greedy Williams,CB,LSU,College Stats,6-2,185,4.37,,,,,,Cleveland Browns / 2nd / 46th pick / 2019
Jonah Williams,OT,Alabama,College Stats,6-4,302,5.12,28.0,23,100,8.01,4.79,Cincinnati Bengals / 1st / 11th pick / 2019
Joejuan Williams,CB,Vanderbilt,College Stats,6-4,211,4.64,,17,,,,New England Patriots / 2nd / 45th pick / 2019
Quinnen Williams,DL,Alabama,College Stats,6-3,303,4.83,30.5,,112,,,New York Jets / 1st / 3rd pick / 2019
Trayveon Williams,RB,Texas A&M,College Stats,5-8,206,4.51,33.0,19,121,7.44,4.44,Cincinnati Bengals / 6th / 182nd pick / 2019
Khari Willis,S,Michigan State,College Stats,5-11,213,4.52,34.5,22,118,,,Indianapolis Colts / 4th / 109th pick / 2019
Caleb Wilson,TE,UCLA,College Stats,6-4,240,4.56,29.0,,113,7.20,4.40,Arizona Cardinals / 7th / 254th pick / 2019
Donovan Wilson,S,Texas A&M,College Stats,6-0,199,,36.0,18,127,,,Dallas Cowboys / 6th / 213th pick / 2019
Mack Wilson,LB,Alabama,College Stats,6-1,240,,32.0,,117,,,Cleveland Browns / 5th / 155th pick / 2019
Chase Winovich,EDGE,Michigan,College Stats,6-3,256,4.59,30.5,18,116,6.94,4.11,New England Patriots / 3rd / 77th pick / 2019
Mitch Wishnowsky,P,Utah,College Stats,6-2,218,4.63,32.5,,117,,,San Francisco 49ers / 4th / 110th pick / 2019
Renell Wren,DL,Arizona State,College Stats,6-5,318,5.01,32.0,30,118,7.65,4.53,Cincinnati Bengals / 4th / 125th pick / 2019
Oshane Ximines,EDGE,Old Dominion,College Stats,6-3,253,4.78,34.0,24,118,7.13,4.57,New York Giants / 3rd / 95th pick / 2019
Rock Ya-Sin,CB,Temple,College Stats,6-0,192,4.51,39.5,18,120,7.31,4.31,Indianapolis Colts / 2nd / 34th pick / 2019
