Player,Position,School,College,Height,Weight,40 Time,Vertical Jump,Bench,Broad Jump,3 Cone,Shuttle,Drafted
Kary Vincent Jr.,CB,LSU,College Stats,5-9,185,4.36,35.5,8,117,,,Denver Broncos / 7th / 237th pick / 2021
Malcolm Koonce,DE,Buffalo,College Stats,6-2,249,,,,,,,Las Vegas Raiders / 3rd / 79th pick / 2021
Trey Lance,QB,North Dakota St.,College Stats,6-3,224,,,,,,,San Francisco 49ers / 1st / 3rd pick / 2021
Cole Van Lanen,OL,Wisconsin,College Stats,6-4,305,5.11,30.0,22,107,7.34,4.64,Green Bay Packers / 6th / 214th pick / 2021
Trevor Lawrence,QB,Clemson,College Stats,6-5,213,,,,,,,Jacksonville Jaguars / 1st / 1st pick / 2021
Alex Leatherwood,OL,Alabama,College Stats,6-5,312,4.96,34.5,,118,,,Las Vegas Raiders / 1st / 17th pick / 2021
Richard LeCounte,DB,Georgia,College Stats,5-10,196,4.79,32.5,,128,7.44,4.49,Cleveland Browns / 5th / 169th pick / 2021
Deommodore Lenoir,CB,Oregon,College Stats,5-10,199,4.48,34.5,15,121,7.02,4.35,San Francisco 49ers / 5th / 172nd pick / 2021
Walker Little,OT,Stanford,College Stats,6-7,313,5.30,29.5,24,111,7.44,4.59,Jacksonville Jaguars / 2nd / 45th pick / 2021
Isaiahh Loudermilk,DE,Wisconsin,College Stats,6-6,274,5.08,28.5,21,112,7.52,4.55,Pittsburgh Steelers / 5th / 156th pick / 2021
Tre' McKitty,TE,Georgia,College Stats,6-4,247,,,,,,,Los Angeles Chargers / 3rd / 97th pick / 2021
Racey McMath,WR,LSU,College Stats,6-2,217,4.36,34.0,,124,7.38,4.38,Tennessee Titans / 6th / 205th pick / 2021
Quinn Meinerz,OL,Wisconsin–Whitewater,,6-2,320,4.99,32.0,,111,7.54,4.58,Denver Broncos / 3rd / 98th pick / 2021
Ifeatu Melifonwu,DB,Syracuse,College Stats,6-2,205,4.48,41.5,16,134,7.01,4.34,Detroit Lions / 3rd / 101st pick / 2021
Davis Mills,QB,Stanford,College Stats,6-3,217,4.82,32.0,,110,6.95,4.40,Houston Texans / 3rd / 67th pick / 2021
Dax Milne,WR,BYU,College Stats,,,4.54,31.0,14,114,,4.19,Washington Football Team / 7th / 258th pick / 2021
Elijah Mitchell,RB,Louisiana,College Stats,5-10,201,4.38,37.5,17,128,6.94,4.19,San Francisco 49ers / 6th / 194th pick / 2021
Trevon Moehrig,S,TCU,College Stats,,,4.50,33.0,,,,4.19,Las Vegas Raiders / 2nd / 43rd pick / 2021
Elijah Molden,DB,Washington,College Stats,5-9,192,4.62,36.5,13,125,,,Tennessee Titans / 3rd / 100th pick / 2021
Elijah Moore,WR,Mississippi,College Stats,,,4.35,36.0,17,121,6.63,4.07,New York Jets / 2nd / 34th pick / 2021
