,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs,YPG,Conf,response
0,1,6,STL,Torry Holt,WR,23,North Carolina St.,1999,192,4.44,37,,,72.3,torry holt+1999,29,174,3118,17.91954023,30,11,117,10.63636364,0,185,3235,17.48648649,30,107.5172414,ACC,1
1,1,8,ARI,David Boston,WR,21,Ohio St.,1999,215,4.47,37,7.2,4.09,73.3,david boston+1999,25,158,2405,15.22151899,27,3,8,2.666666667,0,161,2413,14.98757764,27,96.2,Big Ten,1
2,1,13,PIT,Troy Edwards,WR,22,Louisiana Tech,1999,191,4.57,36.5,7.37,4.16,69.5,troy edwards+1999,34,280,4352,15.54285714,50,38,447,11.76315789,6,318,4799,15.09119497,56,128,Ind,3
3,2,32,CLE,Kevin Johnson,WR,23,Syracuse,1999,194,4.41,36.5,6.79,3.86,71.1,kevin johnson+1999,11,60,894,14.9,9,8,105,13.125,3,68,999,14.69117647,12,81.27272727,Big East,1
4,2,53,BUF,Peerless Price,WR,22,Tennessee,1999,180,4.55,35,7.28,4.09,70.9,peerless price+1999,35,141,2227,15.79432624,19,7,122,17.42857143,1,148,2349,15.87162162,20,63.62857143,SEC,2
5,3,71,CHI,D'Wayne Bates,WR,23,Northwestern,1999,215,4.59,37,7.25,4.24,73.6,d'wayne bates+1999,36,207,3330,16.08695652,26,13,12,0.923076923,0,220,3342,15.19090909,26,92.5,Big Ten,3
6,3,78,CHI,Marty Booker,WR,23,La-Monroe,1999,,,,,,,marty booker+1999,11,75,1168,15.57333333,11,2,-1,-0.5,0,77,1167,15.15584416,11,106.1818182,Ind,2
7,3,82,SEA,Karsten Bailey,WR,22,Auburn,1999,205,4.33,40,6.99,3.99,71.8,karsten bailey+1999,,,,,,,,,,,,,,,,
8,3,93,DEN,Travis McGriff,WR,23,Florida,1999,185,4.53,35.5,7.28,4.13,68,travis mcgriff+1999,11,70,1357,19.38571429,10,2,-3,-1.5,1,72,1354,18.80555556,11,123.3636364,SEC,4
9,4,98,CIN,Craig Yeast,WR,22,Kentucky,1999,164,4.49,32.5,7.31,4.14,67.6,craig yeast+1999,43,208,2899,13.9375,28,13,125,9.615384615,0,221,3024,13.68325792,28,67.41860465,SEC,3
10,4,102,OAK,Dameane Douglas,WR,23,California,1999,201,4.7,31.5,7.36,4.36,71.9,dameane douglas+1999,34,188,2241,11.92021277,12,4,5,1.25,1,192,2246,11.69791667,13,65.91176471,Pac-10,4
11,4,105,BAL,Brandon Stokley,WR,23,Louisiana,1999,197,4.49,35.5,7.04,4.01,73,brandon stokley+1999,22,146,2333,15.97945205,15,13,55,4.230769231,0,159,2388,15.01886792,15,106.0454545,Ind,3
12,4,108,KAN,Larry Parker,WR,23,USC,1999,200,4.49,35.5,,,72.9,larry parker+1999,13,29,580,20,1,3,28,9.333333333,0,32,608,19,1,44.61538462,Pac-10,
13,4,118,DAL,Wane McGarity,WR,22,Texas,1999,194,4.53,33,7.21,4.36,68,wane mcgarity+1999,,,,,,,,,,,,,,,,3
14,4,130,PHI,Na Brown,WR,22,North Carolina,1999,184,4.56,30.5,7.12,4.21,72.6,na brown+1999,11,55,897,16.30909091,6,1,48,48,1,56,945,16.875,7,81.54545455,ACC,3
15,5,148,CLE,Darrin Chiaverini,WR,21,Colorado,1999,212,4.53,33,,4.16,73.1,darrin chiaverini+1999,11,52,630,12.11538462,5,1,10,10,0,53,640,12.0754717,5,57.27272727,Big 12,3
16,5,164,ATL,Eugene Baker,WR,23,Kent St.,1999,167,4.46,36.5,6.9,4.03,72.5,eugene baker+1999,17,118,1900,16.10169492,17,2,19,9.5,0,120,1919,15.99166667,17,111.7647059,MAC,3
17,5,166,PIT,Malcolm Johnson,WR,22,Notre Dame,1999,,,,,,,malcolm johnson+1999,,,,,,,,,,,,,,,,4
18,6,171,SFO,Tai Streets,WR,22,Michigan,1999,194,4.44,37,,,73.4,tai streets+1999,,,,,,,,,,,,,,,,3
19,6,186,TEN,Darran Hall,WR,,Colorado St.,1999,168,4.45,34,7.25,4.33,68.5,darran hall+1999,11,44,629,14.29545455,2,7,65,9.285714286,2,51,694,13.60784314,4,57.18181818,WAC,
20,6,193,DAL,MarTay Jenkins,WR,24,Nebraska-Omaha,1999,203,4.5,39.5,7.3,4.18,71.4,martay jenkins+1999,,,,,,,,,,,,,,,,
21,6,196,GNB,Dee Miller,WR,,Ohio St.,1999,199,4.51,33.5,7.2,4.31,71.9,dee miller+1999,25,117,1896,16.20512821,8,4,36,9,0,121,1932,15.96694215,8,75.84,Big Ten,
22,6,201,PHI,Troy Smith,WR,22,East Carolina,1999,194,4.63,35.5,7.25,4.24,73,troy smith+1999,10,44,719,16.34090909,4,1,2,2,0,45,721,16.02222222,4,71.9,CUSA,3
23,6,204,DEN,Chad Plummer,WR,23,Cincinnati,1999,223,4.57,33,7.34,4.18,74.9,chad plummer+1999,11,61,852,13.96721311,0,45,52,1.155555556,1,106,904,8.528301887,1,77.45454545,CUSA,
24,7,213,GNB,Donald Driver,WR,24,Alcorn St.,1999,,,,,,,donald driver+1999,,,,,,,,,,,,,,,,2
25,7,217,WAS,Tim Alexander,WR,,Oregon St.,1999,,,,,,,tim alexander+1999,11,52,620,11.92307692,2,4,3,0.75,0,56,623,11.125,2,56.36363636,Pac-10,
26,7,221,CHI,Sulecio Sanford,WR,,Middle Tenn. St.,1999,,,,,,,sulecio sanford+1999,,,,,,,,,,,,,,,,
27,7,240,TAM,Darnell McDonald,WR,23,Kansas St.,1999,202,4.74,34,7.27,4.24,75,darnell mcdonald+1999,,,,,,,,,,,,,,,,3
28,7,241,NWE,Sean Morey,WR,23,Brown,1999,,,,,,,sean morey+1999,,,,,,,,,,,,,,,,
29,7,247,ATL,Rondel Menendez,WR,,East. Kentucky,1999,178,4.24,37,6.79,3.96,69,rondel menendez+1999,,,,,,,,,,,,,,,,
30,1,6,STL,Torry Holt,WR,23,North Carolina St.,1999,192,4.44,37,,,72.3,torry holt+1999,29,174,3118,17.91954023,30,11,117,10.63636364,0,185,3235,17.48648649,30,107.5172414,ACC,1
31,1,8,ARI,David Boston,WR,21,Ohio St.,1999,215,4.47,37,7.2,4.09,73.3,david boston+1999,25,158,2405,15.22151899,27,3,8,2.666666667,0,161,2413,14.98757764,27,96.2,Big Ten,1
32,1,13,PIT,Troy Edwards,WR,22,Louisiana Tech,1999,191,4.57,36.5,7.37,4.16,69.5,troy edwards+1999,34,280,4352,15.54285714,50,38,447,11.76315789,6,318,4799,15.09119497,56,128,Ind,3
33,2,32,CLE,Kevin Johnson,WR,23,Syracuse,1999,194,4.41,36.5,6.79,3.86,71.1,kevin johnson+1999,11,60,894,14.9,9,8,105,13.125,3,68,999,14.69117647,12,81.27272727,Big East,1
34,2,53,BUF,Peerless Price,WR,22,Tennessee,1999,180,4.55,35,7.28,4.09,70.9,peerless price+1999,35,141,2227,15.79432624,19,7,122,17.42857143,1,148,2349,15.87162162,20,63.62857143,SEC,2
35,3,71,CHI,D'Wayne Bates,WR,23,Northwestern,1999,215,4.59,37,7.25,4.24,73.6,d'wayne bates+1999,36,207,3330,16.08695652,26,13,12,0.923076923,0,220,3342,15.19090909,26,92.5,Big Ten,3
36,3,78,CHI,Marty Booker,WR,23,La-Monroe,1999,,,,,,,marty booker+1999,11,75,1168,15.57333333,11,2,-1,-0.5,0,77,1167,15.15584416,11,106.1818182,Ind,2
37,3,82,SEA,Karsten Bailey,WR,22,Auburn,1999,205,4.33,40,6.99,3.99,71.8,karsten bailey+1999,,,,,,,,,,,,,,,,
38,3,93,DEN,Travis McGriff,WR,23,Florida,1999,185,4.53,35.5,7.28,4.13,68,travis mcgriff+1999,11,70,1357,19.38571429,10,2,-3,-1.5,1,72,1354,18.80555556,11,123.3636364,SEC,4
39,4,98,CIN,Craig Yeast,WR,22,Kentucky,1999,164,4.49,32.5,7.31,4.14,67.6,craig yeast+1999,43,208,2899,13.9375,28,13,125,9.615384615,0,221,3024,13.68325792,28,67.41860465,SEC,3
40,4,102,OAK,Dameane Douglas,WR,23,California,1999,201,4.7,31.5,7.36,4.36,71.9,dameane douglas+1999,34,188,2241,11.92021277,12,4,5,1.25,1,192,2246,11.69791667,13,65.91176471,Pac-10,4
41,4,105,BAL,Brandon Stokley,WR,23,Louisiana,1999,197,4.49,35.5,7.04,4.01,73,brandon stokley+1999,22,146,2333,15.97945205,15,13,55,4.230769231,0,159,2388,15.01886792,15,106.0454545,Ind,3
42,4,108,KAN,Larry Parker,WR,23,USC,1999,200,4.49,35.5,,,72.9,larry parker+1999,13,29,580,20,1,3,28,9.333333333,0,32,608,19,1,44.61538462,Pac-10,
43,4,118,DAL,Wane McGarity,WR,22,Texas,1999,194,4.53,33,7.21,4.36,68,wane mcgarity+1999,,,,,,,,,,,,,,,,3
44,4,130,PHI,Na Brown,WR,22,North Carolina,1999,184,4.56,30.5,7.12,4.21,72.6,na brown+1999,11,55,897,16.30909091,6,1,48,48,1,56,945,16.875,7,81.54545455,ACC,3
45,5,148,CLE,Darrin Chiaverini,WR,21,Colorado,1999,212,4.53,33,,4.16,73.1,darrin chiaverini+1999,11,52,630,12.11538462,5,1,10,10,0,53,640,12.0754717,5,57.27272727,Big 12,3
46,5,164,ATL,Eugene Baker,WR,23,Kent St.,1999,167,4.46,36.5,6.9,4.03,72.5,eugene baker+1999,17,118,1900,16.10169492,17,2,19,9.5,0,120,1919,15.99166667,17,111.7647059,MAC,3
47,5,166,PIT,Malcolm Johnson,WR,22,Notre Dame,1999,,,,,,,malcolm johnson+1999,,,,,,,,,,,,,,,,4
48,6,171,SFO,Tai Streets,WR,22,Michigan,1999,194,4.44,37,,,73.4,tai streets+1999,,,,,,,,,,,,,,,,3
49,6,186,TEN,Darran Hall,WR,,Colorado St.,1999,168,4.45,34,7.25,4.33,68.5,darran hall+1999,11,44,629,14.29545455,2,7,65,9.285714286,2,51,694,13.60784314,4,57.18181818,WAC,
50,6,193,DAL,MarTay Jenkins,WR,24,Nebraska-Omaha,1999,203,4.5,39.5,7.3,4.18,71.4,martay jenkins+1999,,,,,,,,,,,,,,,,
51,6,196,GNB,Dee Miller,WR,,Ohio St.,1999,199,4.51,33.5,7.2,4.31,71.9,dee miller+1999,25,117,1896,16.20512821,8,4,36,9,0,121,1932,15.96694215,8,75.84,Big Ten,
52,6,201,PHI,Troy Smith,WR,22,East Carolina,1999,194,4.63,35.5,7.25,4.24,73,troy smith+1999,10,44,719,16.34090909,4,1,2,2,0,45,721,16.02222222,4,71.9,CUSA,3
53,6,204,DEN,Chad Plummer,WR,23,Cincinnati,1999,223,4.57,33,7.34,4.18,74.9,chad plummer+1999,11,61,852,13.96721311,0,45,52,1.155555556,1,106,904,8.528301887,1,77.45454545,CUSA,
54,7,213,GNB,Donald Driver,WR,24,Alcorn St.,1999,,,,,,,donald driver+1999,,,,,,,,,,,,,,,,2
55,7,217,WAS,Tim Alexander,WR,,Oregon St.,1999,,,,,,,tim alexander+1999,11,52,620,11.92307692,2,4,3,0.75,0,56,623,11.125,2,56.36363636,Pac-10,
56,7,221,CHI,Sulecio Sanford,WR,,Middle Tenn. St.,1999,,,,,,,sulecio sanford+1999,,,,,,,,,,,,,,,,
57,7,240,TAM,Darnell McDonald,WR,23,Kansas St.,1999,202,4.74,34,7.27,4.24,75,darnell mcdonald+1999,,,,,,,,,,,,,,,,3
58,7,241,NWE,Sean Morey,WR,23,Brown,1999,,,,,,,sean morey+1999,,,,,,,,,,,,,,,,
59,7,247,ATL,Rondel Menendez,WR,,East. Kentucky,1999,178,4.24,37,6.79,3.96,69,rondel menendez+1999,,,,,,,,,,,,,,,,
60,1,6,STL,Torry Holt,WR,23,North Carolina St.,1999,192,4.44,37,,,72.3,torry holt+1999,29,174,3118,17.91954023,30,11,117,10.63636364,0,185,3235,17.48648649,30,107.5172414,ACC,1
61,1,8,ARI,David Boston,WR,21,Ohio St.,1999,215,4.47,37,7.2,4.09,73.3,david boston+1999,25,158,2405,15.22151899,27,3,8,2.666666667,0,161,2413,14.98757764,27,96.2,Big Ten,1
62,1,13,PIT,Troy Edwards,WR,22,Louisiana Tech,1999,191,4.57,36.5,7.37,4.16,69.5,troy edwards+1999,34,280,4352,15.54285714,50,38,447,11.76315789,6,318,4799,15.09119497,56,128,Ind,3
63,2,32,CLE,Kevin Johnson,WR,23,Syracuse,1999,194,4.41,36.5,6.79,3.86,71.1,kevin johnson+1999,11,60,894,14.9,9,8,105,13.125,3,68,999,14.69117647,12,81.27272727,Big East,1
64,2,53,BUF,Peerless Price,WR,22,Tennessee,1999,180,4.55,35,7.28,4.09,70.9,peerless price+1999,35,141,2227,15.79432624,19,7,122,17.42857143,1,148,2349,15.87162162,20,63.62857143,SEC,2
65,3,71,CHI,D'Wayne Bates,WR,23,Northwestern,1999,215,4.59,37,7.25,4.24,73.6,d'wayne bates+1999,36,207,3330,16.08695652,26,13,12,0.923076923,0,220,3342,15.19090909,26,92.5,Big Ten,3
66,3,78,CHI,Marty Booker,WR,23,La-Monroe,1999,,,,,,,marty booker+1999,11,75,1168,15.57333333,11,2,-1,-0.5,0,77,1167,15.15584416,11,106.1818182,Ind,2
67,3,82,SEA,Karsten Bailey,WR,22,Auburn,1999,205,4.33,40,6.99,3.99,71.8,karsten bailey+1999,,,,,,,,,,,,,,,,
68,3,93,DEN,Travis McGriff,WR,23,Florida,1999,185,4.53,35.5,7.28,4.13,68,travis mcgriff+1999,11,70,1357,19.38571429,10,2,-3,-1.5,1,72,1354,18.80555556,11,123.3636364,SEC,4
69,4,98,CIN,Craig Yeast,WR,22,Kentucky,1999,164,4.49,32.5,7.31,4.14,67.6,craig yeast+1999,43,208,2899,13.9375,28,13,125,9.615384615,0,221,3024,13.68325792,28,67.41860465,SEC,3
70,4,102,OAK,Dameane Douglas,WR,23,California,1999,201,4.7,31.5,7.36,4.36,71.9,dameane douglas+1999,34,188,2241,11.92021277,12,4,5,1.25,1,192,2246,11.69791667,13,65.91176471,Pac-10,4
71,4,105,BAL,Brandon Stokley,WR,23,Louisiana,1999,197,4.49,35.5,7.04,4.01,73,brandon stokley+1999,22,146,2333,15.97945205,15,13,55,4.230769231,0,159,2388,15.01886792,15,106.0454545,Ind,3
72,4,108,KAN,Larry Parker,WR,23,USC,1999,200,4.49,35.5,,,72.9,larry parker+1999,13,29,580,20,1,3,28,9.333333333,0,32,608,19,1,44.61538462,Pac-10,
73,4,118,DAL,Wane McGarity,WR,22,Texas,1999,194,4.53,33,7.21,4.36,68,wane mcgarity+1999,,,,,,,,,,,,,,,,3
74,4,130,PHI,Na Brown,WR,22,North Carolina,1999,184,4.56,30.5,7.12,4.21,72.6,na brown+1999,11,55,897,16.30909091,6,1,48,48,1,56,945,16.875,7,81.54545455,ACC,3
75,5,148,CLE,Darrin Chiaverini,WR,21,Colorado,1999,212,4.53,33,,4.16,73.1,darrin chiaverini+1999,11,52,630,12.11538462,5,1,10,10,0,53,640,12.0754717,5,57.27272727,Big 12,3
76,5,164,ATL,Eugene Baker,WR,23,Kent St.,1999,167,4.46,36.5,6.9,4.03,72.5,eugene baker+1999,17,118,1900,16.10169492,17,2,19,9.5,0,120,1919,15.99166667,17,111.7647059,MAC,3
77,5,166,PIT,Malcolm Johnson,WR,22,Notre Dame,1999,,,,,,,malcolm johnson+1999,,,,,,,,,,,,,,,,4
78,6,171,SFO,Tai Streets,WR,22,Michigan,1999,194,4.44,37,,,73.4,tai streets+1999,,,,,,,,,,,,,,,,3
79,6,186,TEN,Darran Hall,WR,,Colorado St.,1999,168,4.45,34,7.25,4.33,68.5,darran hall+1999,11,44,629,14.29545455,2,7,65,9.285714286,2,51,694,13.60784314,4,57.18181818,WAC,
80,6,193,DAL,MarTay Jenkins,WR,24,Nebraska-Omaha,1999,203,4.5,39.5,7.3,4.18,71.4,martay jenkins+1999,,,,,,,,,,,,,,,,
81,6,196,GNB,Dee Miller,WR,,Ohio St.,1999,199,4.51,33.5,7.2,4.31,71.9,dee miller+1999,25,117,1896,16.20512821,8,4,36,9,0,121,1932,15.96694215,8,75.84,Big Ten,
82,6,201,PHI,Troy Smith,WR,22,East Carolina,1999,194,4.63,35.5,7.25,4.24,73,troy smith+1999,10,44,719,16.34090909,4,1,2,2,0,45,721,16.02222222,4,71.9,CUSA,3
83,6,204,DEN,Chad Plummer,WR,23,Cincinnati,1999,223,4.57,33,7.34,4.18,74.9,chad plummer+1999,11,61,852,13.96721311,0,45,52,1.155555556,1,106,904,8.528301887,1,77.45454545,CUSA,
84,7,213,GNB,Donald Driver,WR,24,Alcorn St.,1999,,,,,,,donald driver+1999,,,,,,,,,,,,,,,,2
85,7,217,WAS,Tim Alexander,WR,,Oregon St.,1999,,,,,,,tim alexander+1999,11,52,620,11.92307692,2,4,3,0.75,0,56,623,11.125,2,56.36363636,Pac-10,
86,7,221,CHI,Sulecio Sanford,WR,,Middle Tenn. St.,1999,,,,,,,sulecio sanford+1999,,,,,,,,,,,,,,,,
87,7,240,TAM,Darnell McDonald,WR,23,Kansas St.,1999,202,4.74,34,7.27,4.24,75,darnell mcdonald+1999,,,,,,,,,,,,,,,,3
88,7,241,NWE,Sean Morey,WR,23,Brown,1999,,,,,,,sean morey+1999,,,,,,,,,,,,,,,,
89,7,247,ATL,Rondel Menendez,WR,,East. Kentucky,1999,178,4.24,37,6.79,3.96,69,rondel menendez+1999,,,,,,,,,,,,,,,,
90,1,6,STL,Torry Holt,WR,23,North Carolina St.,1999,192,4.44,37,,,72.3,torry holt+1999,29,174,3118,17.91954023,30,11,117,10.63636364,0,185,3235,17.48648649,30,107.5172414,ACC,1
91,1,8,ARI,David Boston,WR,21,Ohio St.,1999,215,4.47,37,7.2,4.09,73.3,david boston+1999,25,158,2405,15.22151899,27,3,8,2.666666667,0,161,2413,14.98757764,27,96.2,Big Ten,1
92,1,13,PIT,Troy Edwards,WR,22,Louisiana Tech,1999,191,4.57,36.5,7.37,4.16,69.5,troy edwards+1999,34,280,4352,15.54285714,50,38,447,11.76315789,6,318,4799,15.09119497,56,128,Ind,3
93,2,32,CLE,Kevin Johnson,WR,23,Syracuse,1999,194,4.41,36.5,6.79,3.86,71.1,kevin johnson+1999,11,60,894,14.9,9,8,105,13.125,3,68,999,14.69117647,12,81.27272727,Big East,1
94,2,53,BUF,Peerless Price,WR,22,Tennessee,1999,180,4.55,35,7.28,4.09,70.9,peerless price+1999,35,141,2227,15.79432624,19,7,122,17.42857143,1,148,2349,15.87162162,20,63.62857143,SEC,2
95,3,71,CHI,D'Wayne Bates,WR,23,Northwestern,1999,215,4.59,37,7.25,4.24,73.6,d'wayne bates+1999,36,207,3330,16.08695652,26,13,12,0.923076923,0,220,3342,15.19090909,26,92.5,Big Ten,3
96,3,78,CHI,Marty Booker,WR,23,La-Monroe,1999,,,,,,,marty booker+1999,11,75,1168,15.57333333,11,2,-1,-0.5,0,77,1167,15.15584416,11,106.1818182,Ind,2
97,3,82,SEA,Karsten Bailey,WR,22,Auburn,1999,205,4.33,40,6.99,3.99,71.8,karsten bailey+1999,,,,,,,,,,,,,,,,
98,3,93,DEN,Travis McGriff,WR,23,Florida,1999,185,4.53,35.5,7.28,4.13,68,travis mcgriff+1999,11,70,1357,19.38571429,10,2,-3,-1.5,1,72,1354,18.80555556,11,123.3636364,SEC,4
99,4,98,CIN,Craig Yeast,WR,22,Kentucky,1999,164,4.49,32.5,7.31,4.14,67.6,craig yeast+1999,43,208,2899,13.9375,28,13,125,9.615384615,0,221,3024,13.68325792,28,67.41860465,SEC,3
100,4,102,OAK,Dameane Douglas,WR,23,California,1999,201,4.7,31.5,7.36,4.36,71.9,dameane douglas+1999,34,188,2241,11.92021277,12,4,5,1.25,1,192,2246,11.69791667,13,65.91176471,Pac-10,4
101,4,105,BAL,Brandon Stokley,WR,23,Louisiana,1999,197,4.49,35.5,7.04,4.01,73,brandon stokley+1999,22,146,2333,15.97945205,15,13,55,4.230769231,0,159,2388,15.01886792,15,106.0454545,Ind,3
102,4,108,KAN,Larry Parker,WR,23,USC,1999,200,4.49,35.5,,,72.9,larry parker+1999,13,29,580,20,1,3,28,9.333333333,0,32,608,19,1,44.61538462,Pac-10,
103,4,118,DAL,Wane McGarity,WR,22,Texas,1999,194,4.53,33,7.21,4.36,68,wane mcgarity+1999,,,,,,,,,,,,,,,,3
104,4,130,PHI,Na Brown,WR,22,North Carolina,1999,184,4.56,30.5,7.12,4.21,72.6,na brown+1999,11,55,897,16.30909091,6,1,48,48,1,56,945,16.875,7,81.54545455,ACC,3
105,5,148,CLE,Darrin Chiaverini,WR,21,Colorado,1999,212,4.53,33,,4.16,73.1,darrin chiaverini+1999,11,52,630,12.11538462,5,1,10,10,0,53,640,12.0754717,5,57.27272727,Big 12,3
106,5,164,ATL,Eugene Baker,WR,23,Kent St.,1999,167,4.46,36.5,6.9,4.03,72.5,eugene baker+1999,17,118,1900,16.10169492,17,2,19,9.5,0,120,1919,15.99166667,17,111.7647059,MAC,3
107,5,166,PIT,Malcolm Johnson,WR,22,Notre Dame,1999,,,,,,,malcolm johnson+1999,,,,,,,,,,,,,,,,4
108,6,171,SFO,Tai Streets,WR,22,Michigan,1999,194,4.44,37,,,73.4,tai streets+1999,,,,,,,,,,,,,,,,3
109,6,186,TEN,Darran Hall,WR,,Colorado St.,1999,168,4.45,34,7.25,4.33,68.5,darran hall+1999,11,44,629,14.29545455,2,7,65,9.285714286,2,51,694,13.60784314,4,57.18181818,WAC,
110,6,193,DAL,MarTay Jenkins,WR,24,Nebraska-Omaha,1999,203,4.5,39.5,7.3,4.18,71.4,martay jenkins+1999,,,,,,,,,,,,,,,,
111,6,196,GNB,Dee Miller,WR,,Ohio St.,1999,199,4.51,33.5,7.2,4.31,71.9,dee miller+1999,25,117,1896,16.20512821,8,4,36,9,0,121,1932,15.96694215,8,75.84,Big Ten,
112,6,201,PHI,Troy Smith,WR,22,East Carolina,1999,194,4.63,35.5,7.25,4.24,73,troy smith+1999,10,44,719,16.34090909,4,1,2,2,0,45,721,16.02222222,4,71.9,CUSA,3
113,6,204,DEN,Chad Plummer,WR,23,Cincinnati,1999,223,4.57,33,7.34,4.18,74.9,chad plummer+1999,11,61,852,13.96721311,0,45,52,1.155555556,1,106,904,8.528301887,1,77.45454545,CUSA,
114,7,213,GNB,Donald Driver,WR,24,Alcorn St.,1999,,,,,,,donald driver+1999,,,,,,,,,,,,,,,,2
115,7,217,WAS,Tim Alexander,WR,,Oregon St.,1999,,,,,,,tim alexander+1999,11,52,620,11.92307692,2,4,3,0.75,0,56,623,11.125,2,56.36363636,Pac-10,
116,7,221,CHI,Sulecio Sanford,WR,,Middle Tenn. St.,1999,,,,,,,sulecio sanford+1999,,,,,,,,,,,,,,,,
117,7,240,TAM,Darnell McDonald,WR,23,Kansas St.,1999,202,4.74,34,7.27,4.24,75,darnell mcdonald+1999,,,,,,,,,,,,,,,,3
118,7,241,NWE,Sean Morey,WR,23,Brown,1999,,,,,,,sean morey+1999,,,,,,,,,,,,,,,,
119,7,247,ATL,Rondel Menendez,WR,,East. Kentucky,1999,178,4.24,37,6.79,3.96,69,rondel menendez+1999,,,,,,,,,,,,,,,,
120,1,6,STL,Torry Holt,WR,23,North Carolina St.,1999,192,4.44,37,,,72.3,torry holt+1999,29,174,3118,17.91954023,30,11,117,10.63636364,0,185,3235,17.48648649,30,107.5172414,ACC,1
121,1,8,ARI,David Boston,WR,21,Ohio St.,1999,215,4.47,37,7.2,4.09,73.3,david boston+1999,25,158,2405,15.22151899,27,3,8,2.666666667,0,161,2413,14.98757764,27,96.2,Big Ten,1
122,1,13,PIT,Troy Edwards,WR,22,Louisiana Tech,1999,191,4.57,36.5,7.37,4.16,69.5,troy edwards+1999,34,280,4352,15.54285714,50,38,447,11.76315789,6,318,4799,15.09119497,56,128,Ind,3
123,2,32,CLE,Kevin Johnson,WR,23,Syracuse,1999,194,4.41,36.5,6.79,3.86,71.1,kevin johnson+1999,11,60,894,14.9,9,8,105,13.125,3,68,999,14.69117647,12,81.27272727,Big East,1
124,2,53,BUF,Peerless Price,WR,22,Tennessee,1999,180,4.55,35,7.28,4.09,70.9,peerless price+1999,35,141,2227,15.79432624,19,7,122,17.42857143,1,148,2349,15.87162162,20,63.62857143,SEC,2
125,3,71,CHI,D'Wayne Bates,WR,23,Northwestern,1999,215,4.59,37,7.25,4.24,73.6,d'wayne bates+1999,36,207,3330,16.08695652,26,13,12,0.923076923,0,220,3342,15.19090909,26,92.5,Big Ten,3
126,3,78,CHI,Marty Booker,WR,23,La-Monroe,1999,,,,,,,marty booker+1999,11,75,1168,15.57333333,11,2,-1,-0.5,0,77,1167,15.15584416,11,106.1818182,Ind,2
127,3,82,SEA,Karsten Bailey,WR,22,Auburn,1999,205,4.33,40,6.99,3.99,71.8,karsten bailey+1999,,,,,,,,,,,,,,,,
128,3,93,DEN,Travis McGriff,WR,23,Florida,1999,185,4.53,35.5,7.28,4.13,68,travis mcgriff+1999,11,70,1357,19.38571429,10,2,-3,-1.5,1,72,1354,18.80555556,11,123.3636364,SEC,4
129,4,98,CIN,Craig Yeast,WR,22,Kentucky,1999,164,4.49,32.5,7.31,4.14,67.6,craig yeast+1999,43,208,2899,13.9375,28,13,125,9.615384615,0,221,3024,13.68325792,28,67.41860465,SEC,3
130,4,102,OAK,Dameane Douglas,WR,23,California,1999,201,4.7,31.5,7.36,4.36,71.9,dameane douglas+1999,34,188,2241,11.92021277,12,4,5,1.25,1,192,2246,11.69791667,13,65.91176471,Pac-10,4
131,4,105,BAL,Brandon Stokley,WR,23,Louisiana,1999,197,4.49,35.5,7.04,4.01,73,brandon stokley+1999,22,146,2333,15.97945205,15,13,55,4.230769231,0,159,2388,15.01886792,15,106.0454545,Ind,3
132,4,108,KAN,Larry Parker,WR,23,USC,1999,200,4.49,35.5,,,72.9,larry parker+1999,13,29,580,20,1,3,28,9.333333333,0,32,608,19,1,44.61538462,Pac-10,
133,4,118,DAL,Wane McGarity,WR,22,Texas,1999,194,4.53,33,7.21,4.36,68,wane mcgarity+1999,,,,,,,,,,,,,,,,3
134,4,130,PHI,Na Brown,WR,22,North Carolina,1999,184,4.56,30.5,7.12,4.21,72.6,na brown+1999,11,55,897,16.30909091,6,1,48,48,1,56,945,16.875,7,81.54545455,ACC,3
135,5,148,CLE,Darrin Chiaverini,WR,21,Colorado,1999,212,4.53,33,,4.16,73.1,darrin chiaverini+1999,11,52,630,12.11538462,5,1,10,10,0,53,640,12.0754717,5,57.27272727,Big 12,3
136,5,164,ATL,Eugene Baker,WR,23,Kent St.,1999,167,4.46,36.5,6.9,4.03,72.5,eugene baker+1999,17,118,1900,16.10169492,17,2,19,9.5,0,120,1919,15.99166667,17,111.7647059,MAC,3
137,5,166,PIT,Malcolm Johnson,WR,22,Notre Dame,1999,,,,,,,malcolm johnson+1999,,,,,,,,,,,,,,,,4
138,6,171,SFO,Tai Streets,WR,22,Michigan,1999,194,4.44,37,,,73.4,tai streets+1999,,,,,,,,,,,,,,,,3
139,6,186,TEN,Darran Hall,WR,,Colorado St.,1999,168,4.45,34,7.25,4.33,68.5,darran hall+1999,11,44,629,14.29545455,2,7,65,9.285714286,2,51,694,13.60784314,4,57.18181818,WAC,
140,6,193,DAL,MarTay Jenkins,WR,24,Nebraska-Omaha,1999,203,4.5,39.5,7.3,4.18,71.4,martay jenkins+1999,,,,,,,,,,,,,,,,
141,6,196,GNB,Dee Miller,WR,,Ohio St.,1999,199,4.51,33.5,7.2,4.31,71.9,dee miller+1999,25,117,1896,16.20512821,8,4,36,9,0,121,1932,15.96694215,8,75.84,Big Ten,
