,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs,YPG,Conf,response
125,3,88,KAN,Rashaan Shehee,RB,23,Washington,1998,204,,,,,70.3,rashaan shehee+1998,19,305,1819,5.963934426,23,36,329,9.138888889,1,341,2148,6.299120235,24,113.0526316,Pac-10,4
126,4,95,ARI,Michael Pittman,RB,23,Fresno St.,1998,214,4.5,35,7.54,4.37,71.5,michael pittman+1998,32,579,2750,4.749568221,28,62,475,7.661290323,2,641,3225,5.031201248,30,100.78125,WAC,2
127,4,101,JAX,Tavian Banks,RB,24,Iowa,1998,198,4.48,39,7.34,3.95,69.6,tavian banks+1998,22,377,2238,5.936339523,26,39,337,8.641025641,3,416,2575,6.189903846,29,117.0454545,Big Ten,3
128,4,122,DEN,Curtis Alexander,RB,,Alabama,1998,204,4.44,37,7.46,,71.6,curtis alexander+1998,11,155,729,4.703225806,6,16,133,8.3125,2,171,862,5.040935673,8,78.36363636,SEC,
129,4,123,PIT,Carlos King,RB,24,North Carolina St.,1998,,,,,,,carlos king+1998,11,70,380,5.428571429,1,20,207,10.35,1,90,587,6.522222222,2,53.36363636,ACC,
130,5,129,STL,Raymond Priester,RB,,Clemson,1998,,,,,,,raymond priester+1998,46,805,3966,4.926708075,21,45,316,7.022222222,1,850,4282,5.037647059,22,93.08695652,ACC,
131,5,131,BUF,Jonathan Linton,RB,23,North Carolina,1998,,,,,,,jonathan linton+1998,22,338,1354,4.00591716,14,37,353,9.540540541,1,375,1707,4.552,15,77.59090909,ACC,3
132,5,132,NOR,Wilmont Perry,RB,23,Livingstone,1998,235,4.74,33,7.75,4.56,73.6,wilmont perry+1998,,,,,,,,,,,,,,,,
133,5,153,DEN,Chris Howard,RB,23,Michigan,1998,223,4.65,27,7.49,4.23,69.6,chris howard+1998,21,328,1566,4.774390244,17,44,325,7.386363636,1,372,1891,5.083333333,18,90.04761905,Big Ten,4
134,6,176,NWE,Harold Shaw,RB,24,Southern Miss,1998,230,4.62,28.5,7.63,4.43,72,harold shaw+1998,45,592,2219,3.748310811,32,51,298,5.843137255,2,643,2517,3.914463453,34,55.93333333,CUSA,4
135,6,178,PIT,Chris Fuamatu-Ma'afala,RB,21,Utah,1998,252,4.83,33,7.52,4.25,71.6,chris fuamatu-ma'afala+1998,31,463,2630,5.680345572,22,15,125,8.333333333,1,478,2755,5.763598326,23,88.87096774,WAC,3
136,7,201,ATL,Ken Oxendine,RB,22,Virginia Tech,1998,228,4.75,35,7.88,3.98,72.3,ken oxendine+1998,31,493,2395,4.85801217,25,30,259,8.633333333,0,523,2654,5.07456979,25,85.61290323,Big East,3
137,7,202,CIN,Marcus Parker,RB,,Virginia Tech,1998,244,4.69,36,7.97,4.36,69.1,marcus parker+1998,,,,,,,,,,,,,,,,
138,7,218,GNB,Eddie Watson,RB,21,Purdue,1998,,,,,,,eddie watson+1998,,,,,,,,,,,,,,,,
139,7,223,DAL,Tarik Smith,RB,,California,1998,200,4.53,39.5,,,70.4,tarik smith+1998,22,236,1027,4.351694915,9,14,81,5.785714286,0,250,1108,4.432,9,50.36363636,Pac-10,
140,7,224,KAN,Ernest Blackwell,RB,,Missouri,1998,,,,,,,ernest blackwell+1998,11,73,551,7.547945205,6,2,8,4,0,75,559,7.453333333,6,50.81818182,Big 12,
141,7,233,ARI,Ron Janes,RB,,Missouri,1998,,,,,,,ron janes+1998,,,,,,,,,,,,,,,,
142,1,4,IND,Edgerrin James,RB,21,Miami (FL),1999,,,,,,,edgerrin james hof+1999,,,,,,,,,,,,,,,,
143,1,5,NOR,Ricky Williams,RB,22,Texas,1999,244,4.56,37,,,70.8,ricky williams+1999,46,1011,6279,6.210682493,72,85,927,10.90588235,3,1096,7206,6.574817518,75,156.6521739,Big 12,1
144,2,39,MIA,J.J. Johnson,RB,25,Mississippi St.,1999,227,4.71,,7.3,4.19,73.4,j.j. johnson+1999,,,,,,,,,,,,,,,,3
145,2,46,NWE,Kevin Faulk,RB,23,LSU,1999,205,4.57,34,7.14,4.09,67.6,kevin faulk+1999,41,856,4557,5.323598131,46,53,600,11.32075472,4,909,5157,5.673267327,50,125.7804878,SEC,2
