PK2,Unnamed: 0,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost,Year,PPRPoints,PPG,PK,response
heath evans+2009,650.0,63.0,22.0,11.0,24.0,17.0,0.0,0.0,0.0,18.0,1.0,7.0,111.0,3.0,53.900000000000006,0.0,0.0,0.0,4019,53.900000000000006,2.45,heath evans+2009,3
heath sherman+1993,166.0,26.0,15.0,7.0,15.0,12.0,0.0,0.0,0.0,406.0,2.0,115.0,78.0,0.0,66.4,0.0,3.0,0.0,1993,72.39999999999999,4.826666666666666,heath sherman+1993,3
henry hynoski+2011,1245.0,73.0,43.0,19.0,31.0,23.0,0.0,0.0,0.0,33.0,0.0,12.0,133.0,1.0,45.599999999999994,0.0,0.0,0.0,6037,45.599999999999994,1.0604651162790697,henry hynoski+2011,4
herbert goodman+2000,975.0,47.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,-3.0,0.0,4.0,0.0,0.0,-1.3,0.0,2.0,1.0,4001,-1.3,-0.10833333333333334,herbert goodman+2000,4
herschel walker+1993,80.0,63.0,32.0,30.0,172.0,125.0,0.0,0.0,0.0,1274.0,6.0,287.0,1110.0,5.0,419.4,0.0,7.0,2.0,3987,425.40000000000003,13.293750000000001,herschel walker+1993,1
herschel walker+1995,205.0,33.0,16.0,3.0,44.0,31.0,0.0,0.0,0.0,126.0,0.0,31.0,234.0,1.0,73.0,0.0,0.0,0.0,1995,73.0,4.5625,herschel walker+1995,3
herschel walker+1996,517.0,69.0,32.0,7.0,33.0,21.0,0.0,0.0,0.0,103.0,1.0,16.0,238.0,2.0,73.10000000000001,0.0,0.0,0.0,3993,73.1,2.284375,herschel walker+1996,3
howard griffith+1994,264.0,27.0,16.0,10.0,27.0,16.0,0.0,0.0,0.0,30.0,0.0,9.0,113.0,1.0,36.3,0.0,0.0,0.0,1994,36.3,2.26875,howard griffith+1994,3
howard griffith+1995,438.0,57.0,31.0,21.0,62.0,38.0,0.0,0.0,0.0,204.0,2.0,77.0,286.0,2.0,109.0,0.0,2.0,1.0,3991,109.0,3.5161290322580645,howard griffith+1995,3
howard griffith+1997,1091.0,126.0,59.0,56.0,117.0,68.0,0.0,0.0,0.0,117.0,1.0,35.0,445.0,6.0,166.2,0.0,0.0,0.0,7994,166.2,2.8169491525423727,howard griffith+1997,3
