,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs,YPG,Conf,response
110,4,129,DAL,Nicky Sualua,RB,22.0,Ohio St.,1997,,,,,,,nicky sualua+1997,,,,,,,,,,,,,,,,
111,5,138,SDG,Kenny Bynum,RB,23.0,South Carolina St.,1997,,,,,,,kenny bynum+1997,,,,,,,,,,,,,,,,
112,5,154,PIT,George Jones,RB,23.0,San Diego St.,1997,204.0,4.58,35.0,7.82,4.38,68.6,george jones+1997,19.0,486.0,2810.0,5.7818930041152266,34.0,34.0,238.0,7.0,0.0,520.0,3048.0,5.861538461538461,34.0,12.526315789473685,WAC,3.0
113,5,163,KAN,June Henley,RB,22.0,Kansas,1997,234.0,,,,,70.9,june henley+1997,42.0,823.0,3841.0,4.667071688942892,41.0,61.0,622.0,10.19672131147541,1.0,884.0,4463.0,5.048642533936651,42.0,14.80952380952381,Big 12,
114,6,167,BAL,Steve Lee,RB,,Indiana,1997,,,,,,,steve lee+1997,,,,,,,,,,,,,,,,
115,6,175,ARI,Rod Brown,RB,,North Carolina St.,1997,,,,,,,rod brown+1997,,,,,,,,,,,,,,,,
116,7,206,DET,Terry Battle,RB,,Arizona St.,1997,197.0,4.71,34.5,,,70.6,terry battle+1997,33.0,334.0,1796.0,5.377245508982036,21.0,15.0,152.0,10.133333333333333,1.0,349.0,1948.0,5.581661891117479,22.0,4.606060606060606,Pac-10,
117,1,5,CHI,Curtis Enis,RB,22.0,Penn St.,1998,242.0,,,,,72.6,curtis enis+1998,24.0,452.0,2573.0,5.692477876106195,32.0,57.0,506.0,8.87719298245614,2.0,509.0,3079.0,6.049115913555992,34.0,21.083333333333332,Big Ten,2.0
118,1,9,JAX,Fred Taylor,RB,22.0,Florida,1998,226.0,,,,,71.9,fred taylor+1998,32.0,489.0,2794.0,5.713701431492843,26.0,61.0,629.0,10.311475409836065,0.0,550.0,3423.0,6.223636363636364,26.0,19.65625,SEC,1.0
119,1,18,NWE,Robert Edwards,RB,23.0,Georgia,1998,218.0,,,,,71.5,robert edwards+1998,21.0,349.0,1708.0,4.893982808022923,21.0,46.0,413.0,8.978260869565217,2.0,395.0,2121.0,5.369620253164557,23.0,19.666666666666668,SEC,1.0
